City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
ribeira grande,PT,100.0,1579999970,73,38.52,-28.7,54.55,54.55,4.36
dikson,RU,100.0,1580000107,97,73.51,80.55,-7.56,-7.56,6.6
koygorodok,RU,100.0,1580000108,96,60.45,51,7.5,7.5,2.13
jamestown,SH,95.0,1580000108,75,-15.94,-5.72,74.93,74.93,14.74
prieska,ZA,0.0,1580000109,47,-29.66,22.75,69.51,69.51,10.13
ponta do sol,CV,96.0,1580000110,88,17.2,-25.09,69.8,69.8,20.8
badou,TG,64.0,1580000110,14,7.58,0.6,71.58,71.58,3.8
longjiang,CN,0.0,1580000110,66,47.33,123.18,2.88,2.88,3.53
mar del plata,AR,0.0,1579999949,45,-38,-57.56,68,66,13.87
rikitea,PF,5.0,1580000027,77,-23.12,-134.97,79.07,79.07,12.84
puerto narino,CO,40.0,1580000111,94,-3.77,-70.38,82.4,82.4,2.08
marawi,SD,0.0,1580000112,30,18.48,31.82,53.47,53.47,12.21
hermanus,ZA,42.0,1579999852,93,-34.42,19.23,60.01,57.99,11.01
roma,AU,62.0,1580000113,61,-26.58,148.78,81.36,81.36,14.16
ambilobe,MG,100.0,1580000045,89,-13.2,49.05,76.6,76.6,4.27
san jeronimo,MX,0.0,1580000114,50,29.37,-110.79,73.99,69.01,3
troitsko-pechorsk,RU,99.0,1580000114,98,62.71,56.2,-1.01,-1.01,4.29
batemans bay,AU,31.0,1580000114,85,-35.72,150.18,90,79,3
narsaq,GL,99.0,1580000115,67,60.92,-46.05,19.4,19.4,4.7
cabo san lucas,MX,40.0,1579999834,73,22.89,-109.91,72,66,4.7
samarai,PG,40.0,1580000116,58,-10.62,150.67,87.46,87.46,2.66
busselton,AU,28.0,1580000116,68,-33.65,115.33,72,72,4
rock sound,BS,20.0,1580000117,69,24.9,-76.2,73.29,73.29,4.72
albany,AU,90.0,1580000118,88,-35.02,117.89,64.4,64.4,4.7
sabha,LY,93.0,1580000118,21,27.04,14.43,58.37,58.37,12.71
boyabat,TR,28.0,1580000118,72,41.47,34.77,24.75,24.75,1.01
bayan,KW,0.0,1580000119,70,29.3,48.05,48.2,42.8,13.87
atuona,PF,70.0,1579999993,78,-9.8,-139.03,80.87,80.87,15.28
hilo,US,90.0,1580000119,57,19.73,-155.09,80.6,71.01,6.93
hutchinson,US,1.0,1580000079,86,38.06,-97.93,48,35.01,4.7
lompoc,US,1.0,1579999845,55,34.64,-120.46,68,59,4.7
arraial do cabo,BR,0.0,1579999938,82,-22.97,-42.03,75.78,75.78,8.32
rocha,UY,0.0,1579999856,77,-34.48,-54.33,62.06,62.06,3.85
elko,US,90.0,1580000120,52,41,-115.5,46.4,39,6.93
bethel,US,90.0,1580000043,93,41.37,-73.41,50,37,8.08
noumea,NC,75.0,1579999900,40,-22.28,166.46,89.6,89.6,10.29
new norfolk,AU,75.0,1579999991,60,-42.78,147.06,73.99,59,12.75
chivay,PE,83.0,1580000123,77,-15.64,-71.6,44.73,44.73,6.8
deputatskiy,RU,48.0,1580000124,100,69.3,139.9,-40.79,-40.79,1.14
punta arenas,CL,75.0,1579999905,66,-53.15,-70.92,50,50,18.34
zhigansk,RU,75.0,1579999854,90,66.77,123.37,-31.61,-31.61,13.89
westport,NZ,53.0,1580000125,63,-41.75,171.6,72.19,72.19,4.81
saint-philippe,RE,90.0,1580000125,78,-21.36,55.77,73.4,63,8.05
zhezkazgan,KZ,94.0,1580000126,95,47.8,67.71,11.1,11.1,14.05
cidreira,BR,43.0,1579999853,74,-30.18,-50.21,74.73,74.73,18.12
vaini,TO,90.0,1579999964,88,-21.2,-175.2,80.6,80.6,13.87
moscow,US,90.0,1579999868,93,46.73,-117,46,35.01,6.93
yulara,AU,0.0,1580000128,14,-25.24,130.99,89.6,89.6,16.11
fukuma,JP,75.0,1580000128,81,33.77,130.47,51.01,48.2,8.05
butaritari,KI,46.0,1579999851,71,3.07,172.79,85.15,85.15,9.86
sola,VU,57.0,1580000023,75,-13.88,167.55,89.6,89.6,3.36
fairbanks,US,1.0,1579999851,75,64.84,-147.72,-7.01,-22,3.36
hamilton,BM,75.0,1580000130,93,32.29,-64.78,66.2,62.01,6.93
bredasdorp,ZA,2.0,1580000020,63,-34.53,20.04,64.4,60.01,12.75
bluff,NZ,33.0,1580000131,50,-46.6,168.33,69.46,69.46,5.86
kodiak,US,90.0,1580000043,62,57.79,-152.41,19.4,19.4,17.22
severnyy,RU,75.0,1580000131,86,50.68,36.55,33.8,33.8,15.66
barrow,US,90.0,1580000079,75,71.29,-156.79,-20.2,-20.2,10.29
portland,AU,39.0,1580000132,86,-38.33,141.6,61.75,61.75,18.45
avarua,CK,100.0,1579999865,83,-21.21,-159.78,82.4,82.4,11.41
constitucion,MX,90.0,1580000133,71,23.99,-104.67,53.6,53.6,6.93
longyearbyen,SJ,0.0,1580000134,59,78.22,15.64,-0.4,-0.4,5.82
chapais,CA,75.0,1580000134,85,49.78,-74.85,23,23,8.05
port elizabeth,ZA,75.0,1580000135,94,-33.92,25.57,68,68,19.46
luderitz,NA,0.0,1579999864,82,-26.65,15.16,68,68,10.29
masinloc,PH,75.0,1580000136,78,15.53,120.05,80.6,80.6,4.7
qaanaaq,GL,1.0,1579999962,42,77.48,-69.36,-12.44,-12.44,4.29
castro,CL,100.0,1580000137,68,-42.47,-73.77,66.2,66.2,6.93
saskylakh,RU,100.0,1579999966,93,71.92,114.08,-20.18,-20.18,17.25
east london,ZA,0.0,1580000138,81,-33.02,27.91,76.42,76.42,15.52
saint-francois,GP,75.0,1580000138,83,16.25,-61.27,77,77,5.82
kamenka,RU,83.0,1580000139,83,51.32,42.77,34,34,10
taybad,IR,99.0,1580000139,89,34.74,60.78,33.01,33.01,19.48
upernavik,GL,97.0,1580000140,95,72.79,-56.15,-13.18,-13.18,7.18
port alfred,ZA,0.0,1580000140,98,-33.59,26.89,66.99,66.99,5.99
dingle,IE,100.0,1580000141,93,52.14,-10.27,49.86,49.86,30.47
skovorodino,RU,9.0,1580000141,97,53.98,123.92,-23.78,-23.78,1.7
leningradskiy,RU,98.0,1579999876,95,69.38,178.42,-11.92,-11.92,4.99
kapaa,US,40.0,1579999977,74,22.08,-159.32,78.8,75,10.29
fort nelson,CA,75.0,1579999981,92,58.81,-122.7,10.4,10.4,2.24
minggang,CN,100.0,1580000143,80,32.46,114.05,34.39,34.39,12.84
ushuaia,AR,75.0,1579999947,66,-54.8,-68.3,50,48.2,23.04
timmins,CA,90.0,1579999938,98,48.47,-81.33,32,32,6.93
itamaraju,BR,100.0,1580000144,98,-17.04,-39.53,73.38,73.38,4.41
puerto ayora,EC,75.0,1580000107,78,-0.74,-90.35,78.8,77,8.05
guangzhou,CN,90.0,1580000145,93,23.12,113.25,57.99,50,4.47
sinnamary,GF,59.0,1580000052,84,5.38,-52.95,79.7,79.7,19.44
zapadnaya dvina,RU,83.0,1580000146,85,56.26,32.07,27.84,27.84,7.63
portobelo,PA,20.0,1580000147,61,9.55,-79.65,80.6,78.01,6.93
vanavara,RU,100.0,1580000147,95,60.34,102.28,24.53,24.53,12.08
grindavik,IS,90.0,1580000057,72,63.84,-22.43,33.8,33.8,8.05
muros,ES,75.0,1580000148,100,42.78,-9.06,50,36,3.36
pacific grove,US,1.0,1579999928,77,36.62,-121.92,66,55,8.05
sao joao da barra,BR,100.0,1580000149,87,-21.64,-41.05,74.82,74.82,4.9
hovd,MN,100.0,1580000150,54,48.01,91.64,8.15,8.15,2.06
chuy,UY,38.0,1580000150,73,-33.7,-53.46,68.09,68.09,5.7
khatanga,RU,21.0,1580000151,90,71.97,102.5,-24.54,-24.54,2.8
iquique,CL,75.0,1580000089,73,-20.22,-70.14,77,77,9.17
verkhoyansk,RU,15.0,1580000151,98,67.54,133.38,-45.71,-45.71,1.45
huarmey,PE,99.0,1579999874,56,-10.07,-78.15,78.64,78.64,3.98
severnyy-kospashskiy,RU,100.0,1580000152,79,59.09,57.8,10.99,10.99,1.99
